,host_id,entire_home_apt_16,private_room_16,shared_room_16,entire_home_apt_17,private_room_17,shared_room_17,entire_home_apt_diff,private_room_diff,shared_room_diff,sum_2016,sum_2017
310,39636,0,1,0,0,0,0,0,-1,0,1,1
311,39866,1,0,0,1,0,0,0,0,0,1,0
312,40100,0,1,0,1,1,0,1,0,0,1,1
313,40275,1,0,0,1,0,0,0,0,0,1,2
314,40502,0,1,0,0,1,0,0,0,0,1,1
315,40893,0,1,0,0,0,0,0,-1,0,1,1
316,40966,1,0,0,0,0,0,-1,0,0,1,0
317,40979,0,1,0,0,1,0,0,0,0,1,0
318,41091,2,1,0,0,0,0,-2,-1,0,3,1
319,41249,1,0,0,0,0,0,-1,0,0,1,0
320,41259,0,1,0,0,1,0,0,0,0,1,0
321,41294,0,1,0,0,1,0,0,0,0,1,1
322,41358,1,0,0,1,0,0,0,0,0,1,1
323,41437,1,0,0,1,0,0,0,0,0,1,1
324,41525,0,0,0,1,1,0,1,1,0,0,1
325,41612,0,1,0,0,1,0,0,0,0,1,2
326,42032,1,0,0,1,0,0,0,0,0,1,1
327,42273,1,0,0,1,0,0,0,0,0,1,1
328,42640,0,1,0,0,1,0,0,0,0,1,1
329,42710,1,0,0,1,0,0,0,0,0,1,1
330,42756,4,1,0,4,1,0,0,0,0,5,1
331,42897,0,0,0,1,0,0,1,0,0,0,5
332,43144,1,0,0,0,0,0,-1,0,0,1,1
333,43321,1,0,0,1,0,0,0,0,0,1,0
334,43532,0,1,0,0,1,0,0,0,0,1,1
335,43671,1,0,0,1,0,0,0,0,0,1,1
336,43772,1,0,0,1,0,0,0,0,0,1,1
337,44029,0,1,0,0,0,0,0,-1,0,1,1
338,44145,3,0,0,2,0,0,-1,0,0,3,0
339,44263,0,1,0,0,2,0,0,1,0,1,2
340,45009,1,0,0,1,0,0,0,0,0,1,2
341,45016,1,0,0,1,0,0,0,0,0,1,1
342,45098,1,0,0,0,0,0,-1,0,0,1,1
343,45120,1,0,0,1,0,0,0,0,0,1,0
344,45324,0,5,0,0,0,0,0,-5,0,5,1
345,45384,0,0,0,1,0,0,1,0,0,0,0
346,45445,0,1,0,0,1,0,0,0,0,1,1
347,45587,1,0,0,0,0,0,-1,0,0,1,1
348,45609,1,0,0,1,0,0,0,0,0,1,0
349,45682,1,0,0,1,0,0,0,0,0,1,1
350,45775,0,1,0,0,0,0,0,-1,0,1,1
351,45845,1,0,0,1,0,0,0,0,0,1,0
352,45908,1,0,0,0,0,0,-1,0,0,1,1
353,46499,1,0,0,1,0,0,0,0,0,1,0
354,46529,1,1,0,1,0,0,0,-1,0,2,1
